tconst,Id_TMDB,Titre,Titre Original,Date de sortie,Durée,Budget,Recettes,Pays d'origine,Langue Originale,Moyenne des votes,Nombre de votants,Popularité,Résumé,Lien_vidéo,Affiche du Film,Genres,Mots clés,Pays_production,Société_production,Logo,Mots_cles_top5,Société_production_top5,Annee_sortie
tt8900082,570019,Commando Ninja,Commando Ninja,2018-11-18,68,36000.0,8562951.0,FR,en,5.8,27.0,2.2,"John est un béret vert, ancien du Vietnam, moitié commando, moitié ninja. Il vit sa paisible retraite solitaire au Canada, lorsqu’un beau jour sa fille est kidnappée par une organisation secrète de Ninjas, dirigée par un Dictateur Sud-Américain, dont le rêve est de créer un nouvel ordre mondial… à travers le temps…",https://www.youtube.com/watch?v=ibTXzhwSbGo,https://image.tmdb.org/t/p/w600_and_h900_bestv2/8wmAxMKNWhEuF14FL1X4I92YQsW.jpg,"Action,Comedy",Non renseigné,France,,Non renseigné,,,2018
tt0913445,13019,Young People Fucking,Young People Fucking,2007-09-05,87,1500000.0,48428063.0,"CA, US",en,5.8,225.0,1.3,La vie amoureuse et sexuelle de cinq jeunes couples un mardi soir ...,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/g5LhutkdYsKyDePtqrRw7c3OTce.jpg,"Comedy,Drama,Romance","episodic, erotic movie","Canada, United States of America",Copperheart Entertainment,https://image.tmdb.org/t/p/w300/UjER6i4eM9WuBCVxSSWFtMrsuT.png,,,2007
tt2112204,130119,Mobile Home,Mobile Home,2012-08-29,97,3500000.0,38058335.0,FR,fr,5.8,20.0,3.6,"Simon a quitté son travail et son amie en ville pour rentrer dans son village natal où vivent ses parents retraités. Il y retrouve Julien, son copain d'enfance, lequel vit avec son père qui se relève d'une grave maladie.  Un soir, sur un coup de tête, ces deux trentenaires décident de réaliser un rêve d'adolescence : partir à l'aventure sur les routes. Ils achètent un camping-car, et se lancent dans leur projet avec enthousiasme, mais une panne les retarde. Qu'à cela ne tienne, ils commenceront leur voyage... sur place.  Cette première étape qui s'éternise, les petits boulots qu'ils doivent trouver pour survivre et les rencontres qui s'ensuivent leur ouvrent d'autres perspectives sur leurs désirs réels et sur cet avenir qu'ils ont, un peu vite, rêvé...",https://www.youtube.com/watch?v=IQQWunTLjU0,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dhrvZlDy7HJtg4XJVPHphYo3vcS.jpg,"Comedy,Drama",Non renseigné,"Luxembourg, France, Belgium","Tarantula, Urban Factory, Tarantula","https://image.tmdb.org/t/p/w300/rfmlWuH9lxt9pgQetWbNwZKSXvZ.png, https://image.tmdb.org/t/p/w300/5xsoXTGM9KVxFpfbWEkSUlosqKb.png, https://image.tmdb.org/t/p/w300/rfmlWuH9lxt9pgQetWbNwZKSXvZ.png",,,2012
tt0491109,20065,Just You,Purple Violets,2007-04-30,101,4000000.0,92000000.0,US,en,5.8,48.0,2.8,Patti Petalson est à l'aube de devenir la plus grande romanicère américaine...,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/n61vWKkNn1cq8p6a0foAqgrcAwu.jpg,"Comedy,Drama,Romance",Non renseigné,United States of America,"Wild Ocean Films, Marlboro Road Gang Productions",https://image.tmdb.org/t/p/w300/aixGsrDcrXmzkrOs5nr5YqT01ry.png,,,2007
tt1361541,57302,Fais-moi plaisir !,Fais-moi plaisir !,2009-06-24,90,4600000.0,8562951.0,FR,fr,5.8,42.0,2.6,"Ariane est persuadée que son compagnon Jean-Jacques fantasme sur une autre femme. Pour sauver son couple, elle lui demande d'avoir une aventure avec celle-ci, pensant qu'il s'agit du meilleur remède pour le libérer. Lorsque Jean-Jacques se rend chez cette femme qu'il connaît à peine, il ne sait pas encore qu'il s'agit de la fille du Président de la République...",https://www.youtube.com/watch?v=jGeoFUH7LN8,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eWo9BqVEW2kuP00ITvHv3X3KyDh.jpg,Comedy,Non renseigné,France,Moby Dick Films,https://image.tmdb.org/t/p/w300/4DFO5gtLFkfTrppAVRCiHdj6rSq.png,,,2009
tt0399497,22161,Avril,Avril,2006-06-13,96,2000000.0,8562951.0,FR,fr,5.9,24.0,1.3,"Avril est le nom d'une jeune fille élevée dans un couvent. Elle apprend, alors qu'elle est sur le point de prononcer ses vœux, qu'elle a un frère jumeau. Elle part à sa recherche.",https://www.youtube.com/watch?v=4vhQiHyIZ9Y,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4oW0GR3rtFmNQ4OWVh2o1Hvi9E2.jpg,"Comedy,Drama",couvent,France,Dharamsala,Non renseigné,,,2006
tt0772157,13337,Broken English,Broken English,2007-11-22,97,2000000.0,38058335.0,US,en,5.9,70.0,3.8,"En parfaite new-yorkaise, Nora, la trentaine bien sonnée, s'est développée une carapace à l'épreuve de l'amour. Cynique et désenchantée, elle se demande ce qu'elle pourrait bien faire pour trouver l'homme idéal. Elle n'est pas vraiment aidée par sa mère qui ne perd jamais une occasion de lui rappeler qu'elle est toujours célibataire. Après une série de rendez-vous désastreux, elle rencontre Julien, un français insouciant et joyeux, venu à New York pour travailler sur un film qui finalement ne se fera pas. Nora se laisse un moment convaincre par l'insouciance de Julien, mais redoutant un nouvel échec amoureux, elle se refuse d'y croire et le laisse repartir en France. Prise de remords, elle décide finalement d'aller à Paris, espérant enfin conjurer le sort de son train-train quotidien. Ce voyage sera l'occasion de reprendre en main sa destinée...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/8mYm1TpYdgqiFUBspEPRPBkSYiz.jpg,"Comedy,Drama,Romance","career woman, single, woman director","Japan, France, United States of America","Vox3 Films, HDNet Films, Backup Media, Phantom Film","https://image.tmdb.org/t/p/w300/9wovALoSnGuHXLUw3Fn3n48rIN7.png, https://image.tmdb.org/t/p/w300/m6vSpFeYtFoW1lNv5mpLHzH4eLL.png, https://image.tmdb.org/t/p/w300/uKIK2nhEzHwdwPgj1qZlTS0jNc5.png",woman director,,2007
tt15471560,872709,Fumer fait tousser,Fumer fait tousser,2022-11-30,80,6009575.0,8562951.0,FR,fr,6.0,387.0,3.7,"Après un combat acharné contre une tortue démoniaque, cinq justiciers qu’on appelle les ""TABAC FORCE"", reçoivent l’ordre de partir en retraite pour renforcer la cohésion de leur groupe qui est en train de se dégrader. Le séjour se déroule à merveille jusqu’à ce que Lézardin, empereur du Mal, décide d’anéantir la planète Terre…",https://www.youtube.com/watch?v=KhoymAU8AN4,https://image.tmdb.org/t/p/w600_and_h900_bestv2/o35QcAxtz2gWoT73FpEvsmGWUbQ.jpg,"Comedy,Horror,Sci-Fi",Non renseigné,France,"Chi-Fou-Mi Productions, Gaumont","https://image.tmdb.org/t/p/w300/ahgzFRXKF2fkOV0WfB0RCxEmxki.png, https://image.tmdb.org/t/p/w300/nda3dTUYdDrJ6rZqBpYvY865aDv.png",,"Chi-Fou-Mi Productions,Gaumont",2022
tt1160022,51871,Rumba,Rumba,2008-09-10,77,3367980.0,7368924.5,BE,fr,6.0,41.0,2.6,"Fiona et Dom sont instituteurs dans une école de campagne. Ils partagent une passion pour la danse latino et sont très amoureux. Les week-ends, ils écument les concours de danse régionaux. Leur maison regorge de trophées. Une nuit, de retour d'un concours, ils tentent d'éviter un suicidaire maladroit, planté au milieu de la route. Leur voiture s'écrabouille contre un mur. Et leur vie bascule...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/oZSjoQAVgV6MemlfbX8AFDtgBX5.jpg,"Comedy,Drama","black humor, woman director","Belgium, France","Courage Mon Amour, MK2 Films, RTBF","https://image.tmdb.org/t/p/w300/idgy9hLGBaV0RQgw8jEUrWT2Xhl.png, https://image.tmdb.org/t/p/w300/ngZoa368SAnERTz3IBvgTT4eWeB.png, https://image.tmdb.org/t/p/w300/cRhBQP1FFNugNxKkO1pUgeD2Rkr.png",woman director,RTBF,2008
tt1872880,121936,Un bonheur n'arrive jamais seul,Un bonheur n'arrive jamais seul,2012-06-27,110,15000000.0,8562951.0,FR,fr,6.1,432.0,2.1,"Sacha aime ses amis, son piano, la fête. La nuit, il joue dans un club de jazz et séduit des jolies filles. Il vit dans l’instant, pour le plaisir. Sans réveil-matin, sans alliance, sans impôt. Charlotte a trois enfants, deux ex-maris et une carrière professionnelle à gérer. Elle n’a aucune place pour une histoire d’amour. Tout les oppose. Ils n’ont rien à faire ensemble…  Ils sont faits l’un pour l’autre.",https://www.youtube.com/watch?v=_2ywn1VjMFM,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sxgKa86V5G56UgSBVWcraSCRWnQ.jpg,"Comedy,Romance",Non renseigné,France,"Pathé, Eskwad","https://image.tmdb.org/t/p/w300/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png, https://image.tmdb.org/t/p/w300/aeBPwUMUqIOFnt3Fxv9fC91hBuq.png",,Pathé,2012
